"new_tag","timestamp","time","package0","package1","dram0","dram1"
"test_SVM_classification_inference",1787824817.65703,2.33174061775208,122841666,95694762,10478832,7606044
"test_logistic_regression_classification_inference",1787824850.00174,0.0173532962799072,519774,469664,85542,61644
"test_logistic_regression_classification",1787824880.05049,0.281882286071777,12863920,9972265,1260292,917892
"test_SVM_classification",1787824910.36561,16.9783711433411,897477866,696419786,77654813,55102415
"test_decision_tree_classification_inference",1787824957.37748,0.0154004096984863,491332,440734,75567,51836
"test_gaussian_NB_classification",1787824987.42735,0.0182325839996338,560057,492186,88893,64979
"test_random_forest_classification",1787825017.47996,23.3267111778259,1192596435,951323432,111178062,75700361
"test_gaussian_NB_classification_inference",1787825070.84028,0.0121076107025146,401488,365233,60496,42335
"test_decision_tree_classification",1787825100.88722,0.77991509437561,38394249,30123641,3709225,2536541
"test_random_forest_classification_inference",1787825131.70057,0.824414730072021,39795552,32166239,3921497,2679198
"test_random_forest_classification_inference",1787825162.55852,0.8083176612854,39056113,31654094,3836995,2626627
"test_decision_tree_classification_inference",1787825193.40035,0.0153732299804688,464049,414062,77373,55187
"test_SVM_classification_inference",1787825223.45001,2.39169478416443,124483751,96817868,10800561,7762287
"test_logistic_regression_classification",1787825255.87503,0.282534837722778,12812955,9905675,1284068,921489
"test_decision_tree_classification",1787825286.19087,0.778966426849365,38407433,30404829,3656945,2532945
"test_random_forest_classification",1787825317.00317,23.2898464202881,1190529606,958004201,110389822,75574319
"test_SVM_classification",1787825370.32177,17.5129594802856,924320632,714903016,79887114,56825730
"test_gaussian_NB_classification",1787825417.86824,0.014570951461792,463317,409850,72920,51744
"test_gaussian_NB_classification_inference",1787825447.8897,0.0130980014801025,406920,362731,63770,48608
"test_logistic_regression_classification_inference",1787825477.93738,0.0479400157928467,1519223,1284665,236813,156106
"test_SVM_classification_inference",1787825508.01889,2.39462161064148,124637315,97045711,10725973,7773701
"test_random_forest_classification",1787825540.44684,23.3331971168518,1192854857,957020561,111440442,75714116
"test_logistic_regression_classification_inference",1787825593.81362,0.0108983516693115,346862,312682,59578,39030
"test_gaussian_NB_classification",1787825623.85902,0.0126311779022217,404906,363097,63755,45303
"test_gaussian_NB_classification_inference",1787825653.90657,0.011474609375,370178,335875,59272,42060
"test_SVM_classification",1787825683.95266,17.4607565402985,921420187,719253469,79557506,56663137
"test_decision_tree_classification",1787825731.44691,0.781899690628052,38451928,30497907,3678120,2542554
"test_decision_tree_classification_inference",1787825762.26219,0.0116996765136719,382140,336852,61399,42106
"test_logistic_regression_classification",1787825792.30827,0.286010026931763,13019192,10100194,1286026,933805
