"new_tag","timestamp","time","package0","package1","dram0","dram1"
"test_support_vector_regression",1787818229.64854,32.8893566131592,1734358780,1351651569,154597519,106766505
"test_decision_tree_regression",1787818292.57349,0.152262926101685,5854050,4613575,745003,496852
"test_neural_network_regression",1787818322.7591,4.29395413398743,223213234,176332984,24304233,13939279
"test_linear_regression",1787818357.0866,0.0141291618347168,436827,390136,75873,51928
"test_linear_regression_inference",1787818387.13511,0.0147316455841064,460143,414366,71191,52112
"test_gaussian_regression",1787818417.18421,0.0712406635284424,2356439,1898921,379624,237532
"test_decision_tree_regression_inference",1787818447.28913,0.0172643661499023,523192,464660,89887,61506
"test_gaussian_regression_inference",1787818477.34074,0.00899291038513184,292113,260131,51132,35587
"test_support_vector_regression_inference",1787818507.38419,2.88181447982788,150272687,117137151,12982662,9355460
"test_neural_network_regression_inference",1787818540.29947,0.00765681266784668,262817,234680,41632,32451
"test_decision_tree_regression_inference",1787818570.34246,0.015312671661377,486754,437560,76561,55157
"test_support_vector_regression",1787818600.39236,32.9249355792999,1731561302,1351307270,154544565,106828288
"test_neural_network_regression",1787818663.35079,1.36780714988708,69494329,54774091,7807942,4442386
"test_linear_regression_inference",1787818694.7379,0.0112519264221191,377440,336363,59456,39061
"test_decision_tree_regression",1787818724.78384,0.151198387145996,5725022,4531910,725129,494481
"test_support_vector_regression_inference",1787818754.96851,2.88200712203979,150373089,117299078,12944458,9359163
"test_gaussian_regression",1787818787.88402,0.0647518634796143,2113215,1700008,356980,214643
"test_gaussian_regression_inference",1787818817.98245,0.0121023654937744,406432,361632,65009,45334
"test_neural_network_regression_inference",1787818848.02941,0.0108766555786133,350218,309264,54514,42091
"test_linear_regression",1787818878.07538,0.0133237838745117,411498,363341,72614,48822
"test_gaussian_regression",1787818908.12305,0.0714550018310547,2381586,1901545,403032,237073
"test_neural_network_regression",1787818938.22818,1.3516366481781,68635444,53964767,7777572,4390258
"test_support_vector_regression_inference",1787818969.61333,2.8792507648468,150060162,116809638,12974752,9349967
"test_linear_regression_inference",1787819002.52612,0.0073091983795166,256713,232849,41753,29040
"test_decision_tree_regression",1787819032.56858,0.149976253509521,5722214,4497975,728648,489477
"test_neural_network_regression_inference",1787819062.752,0.007598876953125,258605,232971,42488,32237
"test_support_vector_regression",1787819092.79468,32.9833953380585,1733206500,1347221099,153800098,107039565
"test_gaussian_regression_inference",1787819155.81156,0.00923776626586914,318725,283020,51408,35512
"test_decision_tree_regression_inference",1787819185.85604,0.0130369663238525,403929,361511,67014,48700
"test_linear_regression",1787819215.90342,0.0114390850067139,379211,336303,63113,42029
