"new_tag","timestamp","time","package0","package1","dram0","dram1"
"test_gaussian_regression_inference",1787832685.90146,0.0765252113342285,3112052,2410150,454884,289797
"test_gaussian_regression",1787832715.98577,0.324723720550537,14958519,11893524,1993101,1057720
"test_linear_regression",1787832746.34404,0.0227186679840088,722532,622313,120534,77938
"test_linear_regression_inference",1787832776.40073,0.00878787040710449,287048,255797,48363,35588
"test_support_vector_regression",1787832806.44462,29.8738050460815,1570015023,1238123478,141596008,96934512
"test_neural_network_regression_inference",1787832866.35201,0.0172913074493408,534056,490965,93743,58599
"test_decision_tree_regression_inference",1787832896.40371,0.023773193359375,736082,649352,119279,81105
"test_neural_network_regression",1787832926.4614,66.55171251297,3539690219,2743671321,410064250,215964350
"test_support_vector_regression_inference",1787833023.04662,7.86274814605713,412914470,324779259,35515829,25518304
"test_decision_tree_regression",1787833060.94279,0.386522769927979,17903580,14262659,1963908,1259802
"test_neural_network_regression_inference",1787833091.36289,0.0193822383880615,593688,517576,102342,68131
"test_gaussian_regression_inference",1787833121.41617,0.0499362945556641,1608394,1333370,284794,165898
"test_support_vector_regression_inference",1787833151.49977,7.87067079544067,412298749,323893885,35770237,25541468
"test_decision_tree_regression",1787833189.40394,0.35256814956665,16137227,12734587,1744139,1148862
"test_linear_regression_inference",1787833219.79007,0.0124714374542236,406676,362182,67167,45089
"test_neural_network_regression",1787833249.83751,83.7092306613922,4458967955,3435034786,514909214,271633721
"test_gaussian_regression",1787833363.58025,0.190928220748901,7991801,6220505,1148556,624087
"test_linear_regression",1787833393.80472,0.0222008228302002,692076,597350,120273,74924
"test_support_vector_regression",1787833423.86067,29.9004371166229,1571690190,1232756549,141367226,97029999
"test_decision_tree_regression_inference",1787833483.79456,0.0251121520996094,775511,675841,124572,87715
"test_gaussian_regression",1787833513.85374,0.162573575973511,6442000,4984606,960626,533480
"test_support_vector_regression_inference",1787833544.04962,7.88319110870361,413173381,324468347,35455669,25583160
"test_linear_regression",1787833581.93788,0.0206451416015625,661741,574766,111598,68483
"test_neural_network_regression",1787833611.99285,81.9757733345032,4369517805,3365094901,503438544,265997951
