Tasks,Package_python,DRAM_python,Energy_python,Time_python,Package_R,DRAM_R,Energy_R,Time_R,,,
Decision Tree,17.07,9.02,26.09,,10.65,1.36,12.01,0.143,,,
Gaussian Regression,69838.74,982.62,70821.36,,7124.58,573.21,7697.79,26.398,,,
Linear Regression,1021.08,57.16,1078.24,,38485.03,2533.54,11018.57,20.997,,,
Neural Network Regression,7087.74,854.98,7942.72,,356.38,46.34,403.02,,,,
SVM,4702.77,5913.24,10616.01,,55962.95,4545.79,30508.74,9.366,,,
,,,,,,,,,,,
Decision Tree,1.23,0.66,1.89,,0.73,0.11,0.84,0.009,,,
Gaussian Regression,9543.32,1123.58,10666.9,,322.63,31.2,353.83,3.291,,,
Linear Regression,34.67,5.73,40.4,,501.42,39.7,541.12,19.727,,,
Neural Network Regression,8.49,3.39,11.88,,1.45,0.83,2.28,0.008,,,
SVM,3426.23,582.33,4008.56,,28.76,2.73,31.49,2.115,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,Tasks,Python,R
,,,,0.47,0.4,,,,Decision Tree,26.09,12.01
,,,,1627.5,2.63,,,,Gaussian Regression,70821.36,7697.79
Tasks,Python,R,,0.66,19.25,,,,Linear Regression,1078.24,11018.57
Decision Tree,1.89,0.84,,3.83,0.35,,,,Neural Network Regression,7942.72,403.02
Gaussian Regression,10666.9,353.83,,254,0.4,,,,SVM,10616.01,30508.74
Linear Regression,40.4,541.12,,,,,,,,,
Neural Network Regression,11.88,2.28,,,,,,,,,
SVM,4008.56,31.49,,,,,,,,,
,,,,,,,,,,10,2.37
,,,,,,,,,,4848.89,40.56
,,,,,,,,,,1.3,19.3
,,,,,,,,,,3614.97,62.67
,,,,,,,,,,962.39,2098
