    Mode Training Phase,,,,,,,,,,,,,,
                                                                                                  Dataset1(IV2),,,,,,,,                                                                                                   Dataset2(IV2),,,,,,
Machine Learning Algorithms(IV1),                              Python,,,                               R,,,p-value,                              Python,,,                               R,,,p-value
,Run-Time,Package,DRAM ,Run-Time,Package,DRAM ,,Run-Time,Package,DRAM ,Run-Time,Package,DRAM ,
Decision Tree,5.285,513.95,48.08,0.476,46.34,4.3,0.002,115.451,11303.81,6780.85,0.596,57.59,34.1,0.002
Gaussian Naive Bayes,0.011,0.63,0.09,0.019,1.99,0.19,0.002,0.016,0.84,0.49,0.097,9.6,5.66,0.002
Logistic Regression,0.039,4.74,0.33,2.345,226.63,21.84,0.002,0.062,6.93,4.44,24.34,528.34,237,0.002
Random Forest ,1.395,129.82,12.43,8.173,794.97,66.18,0.002,5.716,247.34,301.39,67.23,1037.92,169.45,0.002
Support Vector Machine,5.295,514.83,48.05,23.48,2343.45,182.67,0.002,108.267,5032.91,6276,4.041,76371.35,4120.02,0.19
                                                                                                                                                                               Training Phase,,,,,,,,,,,,,,
Decision Tree,1.904,182.38,16.87,0.022,2.25,0.23,0.002,43.234,4218.79,2527.05,0.064,6.5,3.72,0.002
Gaussian Naive Bayes,0.006,0.3,0.05,0.001,0.21,0.02,0.002,0.007,0.37,0.22,0.004,0.49,0.29,0.046
Logistic Regression,0.009,0.71,0.08,0.03,3.09,0.32,0.002,0.006,0.16,0.17,0.086,5.02,1.3,0.002
Random Forest ,0.055,3.41,0.46,0.406,39.15,3.33,0.002,0.145,4.71,5.44,3.78,191.65,22.67,0.002
Support Vector Machine,1.916,182.44,16.88,7.242,725.12,56.01,0.002,43.191,1880.27,2341.05,4.04,14151.96,1132.35,0.002
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Standard Deviation Values,,,,,,,,,,,,,,
                                                                                                  Dataset1(IV2),,,,,,,,                                                                                                   Dataset2(IV2),,,,,,
Machine Learning Algorithms(IV1),                              Python,,,                               R,,,                              Python,,,                               R,,,,
,Run-Time,Package,DRAM ,Run-Time,Package,DRAM ,Run-Time,Package,DRAM ,Run-Time,Package,DRAM ,,
Decision Tree,0.0017,0.08,0.04,0.004,0.45,0.067,0.05,4.27,0.47,0.01,0.08,0.02,,
Gaussian Naive Bayes,0.006,0.06,0.11,0.004,1.17,0.046,0.01,0.04,0.28,0.01,2.43,1.12,,
Logistic Regression,0.0019,0.1,0.16,0.0458,4.37,0.51,0.01,0.05,0.21,0.01,0.04,0.01,,
Random Forest ,0.2,19.07,2.18,1.197,115.08,11.89,0.03,6.82,11.45,0.08,23.45,0.65,,
Support Vector Machine,0.1,7.05,2.86,1.106,8.07,1.03,0.04,209.57,19,0.07,4.9,7.53,,
                                                                                                                                                                              Inference Phase,,,,,,,,,,,,,,
Decision Tree,0.0013,0.08,0.12,0.0004,0.037,0.006,5.45,23.99,113.5,0.01,0.05,0.01,,
Gaussian Naive Bayes,0.001,0.01,0.009,0.001,0.047,0.002,0.002,0.021,0.14,0.002,0.03,0.01,,
Logistic Regression,0.006,0.03,0.04,0.003,1.49,0.502,0.001,0.002,0.05,0.01,0.03,0.01,,
Random Forest ,0.005,0.95,0.06,0.0007,0.093,0.008,0.001,0.89,2.34,0.01,0.54,0.05,,
Support Vector Machine,0.004,2.89,1.43,0.0004,0.049,0.005,0.03,139.64,10.48,0.03,2.78,0.81,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Coeffiecient Variation Values,,,,,,,,,,,,,,
                                                                                                  Dataset1(IV2),,,,,,,,                                                                                                   Dataset2(IV2),,,,,,
Machine Learning Algorithms(IV1),                              Python,,,                               R,,,                              Python,,,                               R,,,,
,Run-Time,Package,DRAM ,Run-Time,Package,DRAM ,Run-Time,Package,DRAM ,Run-Time,Package,DRAM ,,
Decision Tree,0.033,0.016,0.084,0.841,0.972,1.559,0.044,0.038,0.007,1.678,0.139,0.059,,
Gaussian Naive Bayes,54.546,9.524,122.223,21.053,58.794,24.211,62.5,4.762,57.142,10.31,25.313,19.788,,
Logistic Regression,4.872,2.11,48.485,1.954,1.929,2.336,16.13,0.722,4.729,0.042,0.008,0.005,,
Random Forest ,14.337,14.69,17.539,14.646,14.477,17.967,0.525,2.758,3.8,0.119,2.26,0.384,,
Support Vector Machine,1.889,1.37,5.953,4.711,0.345,0.564,0.037,4.164,0.303,1.733,0.007,0.183,,
                                                                                                                                                                               Inference Phase,,,,,,,,,,,,,,
Decision Tree,0.069,0.044,0.712,1.819,1.645,2.609,12.606,0.569,4.492,15.625,0.77,0.269,,
Gaussian Naive Bayes,16.667,3.334,18,100,22.381,10,28.571,5.675,63.637,50,6.123,3.449,,
Logistic Regression,66.667,4.226,50,10,48.221,156.875,16.66,1.25,29.412,11.628,0.598,0.77,,
Random Forest ,9.091,27.86,13.044,0.173,0.238,0.241,0.69,18.896,43.015,0.265,0.282,0.221,,
Support Vector Machine,0.209,1.585,8.472,0.006,0.007,0.009,0.07,7.427,0.448,0.743,0.02,0.072,,
