task_type,dataset,algo,phase,lang,n,rt_mean_s,rt_sd_s,rt_cv_pct,pkg_mean_J,pkg_sd_J,pkg_cv_pct,dram_mean_J,dram_sd_J,dram_cv_pct
Regression,Dataset1,Neural Network,Training,Python,10,18.2044,0.5260,2.89,4371.29,125.32,2.87,184.99,3.90,2.11
Regression,Dataset1,Neural Network,Training,R,10,2.2087,1.5109,68.41,203.22,141.71,69.73,19.72,13.49,68.37
Regression,Dataset1,Neural Network,Inference,Python,10,0.0304,0.0150,49.28,3.05,1.67,54.62,0.29,0.15,50.99
Regression,Dataset1,Neural Network,Inference,R,10,0.0088,0.0028,32.00,0.56,0.14,26.05,0.08,0.02,29.75
Regression,Dataset1,Support Vector Machine,Training,Python,10,12.0837,0.0595,0.49,1124.77,8.31,0.74,99.83,5.51,5.52
Regression,Dataset1,Support Vector Machine,Training,R,10,32.9344,0.0634,0.19,3082.99,7.93,0.26,261.01,1.42,0.54
Regression,Dataset1,Support Vector Machine,Inference,Python,10,4.2546,0.0155,0.37,392.43,2.44,0.62,34.65,2.48,7.15
Regression,Dataset1,Support Vector Machine,Inference,R,10,2.8703,0.0260,0.91,266.30,2.46,0.92,22.20,0.24,1.08
Regression,Dataset1,Gaussian Regression,Training,Python,9,36.4117,1.7691,4.86,4812.24,158.77,3.30,411.94,25.15,6.10
Regression,Dataset1,Gaussian Regression,Training,R,10,0.0671,0.0036,5.32,4.02,0.21,5.34,0.59,0.03,5.38
Regression,Dataset1,Gaussian Regression,Inference,Python,10,10.7512,0.5017,4.67,1913.32,48.61,2.54,147.91,7.03,4.75
Regression,Dataset1,Gaussian Regression,Inference,R,10,0.0100,0.0018,18.24,0.63,0.11,16.96,0.09,0.02,17.59
Regression,Dataset1,Decision Tree,Training,Python,10,0.1550,0.0010,0.62,10.58,0.11,1.00,1.26,0.07,5.96
Regression,Dataset1,Decision Tree,Training,R,10,0.1618,0.0351,21.71,11.32,3.26,28.81,1.33,0.34,25.45
Regression,Dataset1,Decision Tree,Inference,Python,10,0.0113,0.0011,9.49,0.83,0.44,52.74,0.09,0.01,9.22
Regression,Dataset1,Decision Tree,Inference,R,10,0.0145,0.0029,20.17,0.86,0.16,18.92,0.13,0.03,21.14
Regression,Dataset1,Linear Regression,Training,Python,10,0.0267,0.0020,7.60,1.59,0.28,17.87,0.21,0.01,6.81
Regression,Dataset1,Linear Regression,Training,R,10,0.0124,0.0021,16.54,0.75,0.12,15.41,0.11,0.02,15.69
Regression,Dataset1,Linear Regression,Inference,Python,10,0.0099,0.0041,41.03,0.58,0.29,50.27,0.07,0.03,42.33
Regression,Dataset1,Linear Regression,Inference,R,10,0.0091,0.0030,32.80,0.59,0.16,26.67,0.08,0.02,28.07
Regression,Dataset2,Neural Network,Training,Python,10,29.0202,0.9806,3.38,6976.89,234.07,3.35,302.59,11.90,3.93
Regression,Dataset2,Neural Network,Training,R,9,74.1982,9.8482,13.27,6996.69,933.08,13.34,695.74,93.36,13.42
Regression,Dataset2,Neural Network,Inference,Python,10,0.0676,0.0041,6.13,10.33,1.04,10.10,0.84,0.08,9.73
